,gnss_true_x,gnss_true_y,gnss_x,gnss_y,gnss_labels
712,7120,7120,7114.060721,7103.203064,0
713,7130,7130,7123.946853,7113.658217,0
714,7140,7140,7134.640376,7123.702026,0
715,7150,7150,7143.506906,7134.312727,0
716,7160,7160,7153.491889,7145.216728,0
717,7170,7170,7164.869524,7154.862311,0
718,7180,7180,7174.627621,7164.73059,0
719,7190,7190,7184.93827,7173.695917,0
720,7200,7200,7195.197142,7183.470001,0
721,7210,7210,7205.3434,7194.756997,0
722,7220,7220,7218.200973,7204.87062,0
723,7230,7230,7227.530352,7214.752494,0
724,7240,7240,7240.152246,7224.456208,0
725,7250,7250,7251.238028,7234.373909,0
726,7260,7260,7260.315196,7244.867165,0
727,7270,7270,7269.89166,7253.312824,0
728,7280,7280,7279.392636,7263.630561,0
729,7290,7290,7289.393131,7274.370927,0
730,7300,7300,7298.793082,7283.560432,0
731,7310,7310,7308.670861,7293.415269,0
732,7320,7320,7319.649118,7304.198533,0
733,7330,7330,7329.211793,7313.928052,0
734,7340,7340,7340.231846,7323.311963,0
735,7350,7350,7350.229124,7333.110907,0
736,7360,7360,7359.479557,7343.322116,0
737,7370,7370,7370.325509,7354.30286,0
738,7380,7380,7380.278443,7364.550373,0
739,7390,7390,7389.962894,7376.192821,0
740,7400,7400,7400.087673,7386.325849,0
741,7410,7410,7408.851632,7396.389428,0
742,7420,7420,7418.07944,7406.197805,0
743,7430,7430,7428.548756,7416.094625,0
744,7440,7440,7439.336525,7425.580483,0
745,7450,7450,7450.387063,7435.260389,0
746,7460,7460,7459.972664,7447.294779,0
747,7470,7470,7470.491309,7457.936053,0
748,7480,7480,7479.390922,7466.99523,0
749,7490,7490,7490.888442,7477.043455,0
750,7500,7500,7499.986282,7487.740987,0
751,7510,7510,7510.787616,7498.419449,0
752,7520,7520,7521.972534,7507.712244,0
753,7530,7530,7531.707633,7518.913889,0
754,7540,7540,7540.954162,7526.925473,0
755,7550,7550,7550.64108,7538.099341,0
756,7560,7560,7560.878322,7548.364459,0
757,7570,7570,7571.79253,7558.975309,0
758,7580,7580,7582.246081,7569.253932,0
759,7590,7590,7591.747977,7579.938431,0
760,7600,7600,7600.780885,7590.520736,0
761,7610,7610,7611.265085,7600.794326,0
762,7620,7620,7621.055761,7611.505587,0
763,7630,7630,7631.576796,7622.888093,0
764,7640,7640,7643.554211,7633.123181,0
765,7650,7650,7653.794954,7642.919587,0
766,7660,7660,7663.579155,7653.556927,0
767,7670,7670,7673.444425,7664.387136,0
768,7680,7680,7683.004082,7673.603636,0
769,7690,7690,7691.56088,7684.6116,0
770,7700,7700,7700.721055,7695.461987,0
771,7710,7710,7710.7352,7704.865206,0
772,7720,7720,7721.449328,7715.417425,0
773,7730,7730,7730.96779,7725.4902,0
774,7740,7740,7740.478846,7736.802494,0
775,7750,7750,7750.611375,7745.941132,0
776,7760,7760,7761.450812,7756.238526,0
777,7770,7770,7771.384935,7765.939575,0
778,7780,7780,7781.669849,7776.258328,0
779,7790,7790,7792.025276,7785.830118,0
780,7800,7800,7802.068483,7796.114139,0
781,7810,7810,7813.411186,7805.171074,0
782,7820,7820,7822.863596,7815.847249,0
783,7830,7830,7832.212321,7825.077414,0
784,7840,7840,7842.376457,7835.552853,0
785,7850,7850,7851.721034,7845.53655,0
786,7860,7860,7863.058348,7855.793234,0
787,7870,7870,7872.02171,7864.859167,0
788,7880,7880,7882.05834,7875.006899,0
789,7890,7890,7892.641779,7885.174148,0
790,7900,7900,7904.20533,7896.042162,0
791,7910,7910,7915.074923,7906.253758,0
792,7920,7920,7924.412255,7916.038407,0
793,7930,7930,7934.349788,7926.058854,0
794,7940,7940,7945.917638,7936.978947,0
795,7950,7950,7957.225553,7947.099342,0
796,7960,7960,7967.778491,7955.902552,0
797,7970,7970,7977.862044,7967.054442,0
798,7980,7980,7988.185743,7976.180996,0
799,7990,7990,7997.453534,7985.475844,0
800,8000,8000,8007.502629,7996.827161,0
801,8010,8010,8017.17765,8006.085003,0
802,8020,8020,8024.908471,8017.144974,0
803,8030,8030,8035.346592,8026.520776,0
804,8040,8040,8045.296387,8037.550767,0
805,8050,8050,8054.471598,8047.145893,0
806,8060,8060,8064.453646,8056.000802,0
807,8070,8070,8073.55708,8065.820092,0
808,8080,8080,8082.067363,8074.861255,0
809,8090,8090,8091.55597,8084.523193,0
810,8100,8100,8100.749502,8093.016559,0
811,8110,8110,8112.792981,8102.718872,0
812,8120,8120,8123.059846,8112.932907,0
813,8130,8130,8132.464767,8122.331051,0
814,8140,8140,8141.781295,8132.383874,0
815,8150,8150,8151.748913,8142.993953,0
816,8160,8160,8160.709873,8151.77057,0
817,8170,8170,8169.549827,8161.98749,0
818,8180,8180,8179.331099,8172.646151,0
819,8190,8190,8189.866067,8183.227808,0
820,8200,8200,8200.060366,8193.435916,0
821,8210,8210,8210.803201,8203.344717,0
822,8220,8220,8220.557425,8213.439546,0
